"Title","Url Title","Entry Date","Subhead","Posted By","Body","Categories"
"Bridge Partners Named One of America’s Fastest Growing Businesses","inc5000-2015","August 12, 2015","","","

Bridge Partners announced today that it was named one of America’s fastest growing private businesses by Inc. Magazine for the fourth straight year. The Inc. 5000 list is published annually and recognizes the fastest growing, for-profit, privately-held companies in the nation. With a 3-year growth rate of 121%, Bridge Partners is also one of the fastest growing consulting firms in the country.

Richard Albrecht, CEO and Managing Partner, said, ""We couldn’t earn this recognition without happy customers and great consultants. Our team's ability to deliver successful projects and build strong client relationships is what moves our business forward. With this award and our third consecutive appearance on the list of “Best Companies to Work For” by Seattle Business Magazine, it’s been a great summer of accolades for Bridge!""

Since its founding in 2006, Bridge Partners has distinguished itself as a leader in marketing & digital, sales & channel, and operations & technology. With over $25 million in annual revenue and more than 125 employees, Bridge Partners maintains a national presence with offices in Seattle, San Francisco, Chicago, and Austin.","
  News
"
"Putting the Drama in Project Management Part 3","putting-the-drama-in-project-management-part-3","July 23, 2015","","Cristofer Munson","

In Part One, I discussed the importance of having a concept of the final project outcome, and also a concept of how project execution can influence that final outcome. In Part Two, I explained how great project managers and great directors engage with each team member and support them in doing their best work. Today, I’d like to conclude this series by talking about why an effective project schedule is more than just a series of dates.

PART THREE: MOVING FROM DEPENDENCY TO COALESCENCE

While I hope it hasn’t happened to you, I’ve had my fair share of projects delayed or cancelled for a host of reasons (e.g., a higher priority project took over, the software development schedule accelerated, or business leadership changed). As I reflect on my theater experience, however, I realized that I have never had an opening night delayed or cancelled. Certainly, there are times when a cast and crew wished they had more time to be ready, but in most cases opening night arrives and “the show must go on!”

Whether you are a project manager or a theater director, you must create a project schedule that ‘works’ for the goals of the project. That’s basic. What I learned over the course of my brief life in the theater, however, is that the real trick is to craft a project plan that considers the coalescence of the different components of the production. A successful opening night is not just dependent upon great actors; rather, it is the culmination of multiple disciplines that execute the details of their work independently but must unite together at the right time. A smart director understands both the creative processes and logistical steps needed to ensure that the actors, the sets, the lights, the sound, the costumes, the crews, and the ‘everything else’ all converge at the same time. They must be ready, trained, and tested for the ‘go live’ that is known as ‘opening night.’

A project manager has the same responsibility. The project plan is intended to ensure that everyone working on the project knows what they need to do, and when they need to have it done. Very often, though, the who, what, and when overshadow the why. When that crucial step is ignored, individuals and teams can miss the opportunity to see how their work fits into the broader scope and context of the plan. They won’t see how the different parts and deliverables of the project coalesce into a greater, more important whole. 

Too many times I’ve shown up to test a new system only to find out that the test logins haven’t been set up yet. That’s because no one told the person responsible for system security why the test logins needed to be ready on that date. Now, admittedly, as a project manager you’d think it would be a safe assumption that if you need logins on a certain date, it’s because you want to use them on that date. That’s clear, right? Well, it may be clear to you why that date is important, but if the people doing the work aren’t privy to the broader picture and how their work fits into it, no assumptions are safe. 

BRINGING IT ALL TOGETHER

If you are intentional in developing and articulating your overall concept for the project, attentive in communicating to team members in a manner meaningful to their role on the project, and artful in creating a plan that demonstrates how all the pieces of your project coalesce into a greater whole, you have the opportunity to do something truly remarkable. You can collaborate with others while leading them on a journey they otherwise would not have experienced. This is the essence of theater. This is why I enjoy designing and managing projects and programs in the business world. Project Management is, indeed, a creative act.","
  Operations & Technology
"
"Bridge Partners Recognized as a “Best Company to Work For”","bridge-partners-recognized-as-a-best-company-to-work-for-by-seattle-busines","July 02, 2015","","","For the third straight year, Seattle Business Magazine has named Bridge Partners as one of the 100 Best Companies to Work For. Bridge Partners was ranked #18 in the “Large Company” category.

“This is always an exciting event and a great honor for our business. Making it three years in a row is just that much sweeter,” said Bridge Partners CEO, Richard Albrecht. “It’s a testament to how our people embrace our values of authenticity, collaboration, and mutual respect.”

The editors of Seattle Business Magazine selected the top 100 companies in Washington based on the results of anonymous employee survey responses. Each company was scored in ten categories, including communication, executive leadership, and workplace environment.

In addition to being recognized as one of the best companies to work for, Bridge Partners is one of the fastest growing private businesses in the country.

Interested in joining our team? Get connected.","
  News
"
"Putting the Drama in Project Management Part 2","putting-the-drama-in-project-management-part-2","June 15, 2015","","Cristofer Munson","

In Part One, I discussed the importance of having a concept of the final project outcome, and also a concept of how project execution can influence that final outcome. This time, I’d like to cover what I consider the secret to a great show (and a great project).

PART TWO:  WHY IT DOES MATTER WHO IS CAST AS BATMAN

I studied under a director who had quite a few Broadway credits to his name. When I asked about the secret to creating a great show, his answer was clear: casting. “Ninety-percent of your show’s success is based upon who you cast.” Having the right person in the right role goes a long way to creating a play or film that audiences love. Look no further than the Batman franchise to see how casting can contribute to the success or failure of a production. 

The term casting typically refers to the long (and sometimes agonizing) process of auditions, interviews, callbacks, and readings. In addition to casting the right actors, the director must fill other key roles including set, lighting, and costume designers. These roles also play a critical part in creating and delivering a production. With the play’s concept and approach firmly in mind, the director works hard to understand the strengths of each potential team member and considers who will be best in each role and who will work best with the rest of the team. 

Project managers are charged with a similar task and use all available resources to identify the best talent for their projects. This means contacting past team members, leveraging professional relationships, and working with recruiters. A mindful project manager not only thinks about putting the most talented person into each individual role, but also considers how the different team members will work together. I have known many directors who will forego casting a certain actor (thought to have had the “best” audition) because they sense that actor will be a burden to the team or a barrier to achieving their best work together. I consider the same team dynamics when I put together a team of consultants. 

In a perfect world, a project manager will have an endless supply of talented people to cast in the project. Needless to say, no world is perfect and, more often than not, a project manager has a team assigned to or assembled for them. The same is often true in the theater world and, fortunately, a good theater director has many tools in their tool bag to manage the situation. Theater is a multi-disciplinary art form and requires a diverse set of talents to bring everything together. A director must be keenly aware of the activities and responsibilities of each of those roles. They must also understand the considerations and constraints that impact the individuals in those roles. With this perspective, the director is able to communicate and work within a context that is meaningful to each individual. It is the director’s responsibility to clearly communicate what is needed from each of these different team members and ensure they understand how their work fits into the overall production.  

Just like a theater director, a great project manager engages with each team member in a manner that is relevant to them and supports them in doing their best work. The considerations and constraints of the software development team, for example, are different than those of the marketing team. The project manager is the point of synthesis between these different disciplines and perspectives. He or she either knows or learns the critical considerations and constraints of each role and works with all the team members to bring together a cohesive project. While he or she may not have selected specific team members, the project manager can increase the likelihood of reaching a successful outcome by communicating and working with team members in a manner that is relevant to their particular perspective. 

Part Three: 

Is a project plan just a series of dates?","
  Operations & Technology
"
"Putting the Drama in Project Management Part 1","putting-the-drama-in-project-management","May 22, 2015","","Cristofer Munson","

I was involved in theater from a young age. I studied acting and directing in college and spent much of my twenties engaged in Seattle’s active theater scene. Several years ago, I had the privilege of being a guest speaker for a class of undergraduate business students at the University of Washington. During the Q&A, when I was asked what my major was, the class was surprised to hear that I had a degree in Theater. “How did a drama major get into the consulting business?” the class wanted to know. I told them matter-of-factly that I use the skills I learned as an actor and director every day as a consultant. 

In truth, all performance-related arts are project-related by nature. They require careful planning, thoughtful recruitment of talented people into different roles, and vigilant management of both time and budget if the final production is to be successful and the producing theater company to be sustainable. While I wasn’t aware of it at the time, every time I participated in a theater project, I was learning project management skills that directly translate to the planning and execution of projects in the business world.  

In this blog series, I will describe a few of the key principles that I shared with that class of business students and encourage project managers to consider on every project they manage.

PART ONE: ARTICULATE YOUR CONCEPT 

A good director has a concept for what the final production will be and, perhaps more importantly, the impact they want to make with that production. Some of these are given: is the play a comedy, a drama, a musical, or something avant-garde? Each genre has its own conventions which shape the show. Beyond that, though, the director’s palette is wide open. What is the mood of the show? In what period will it be set? What will the sets, lighting, and costumes look like? These decisions are typically made within the context of the overall concept for the show as well as the desired impact of the show.

The same is true of many projects in a business setting. By having a clear concept of the end product, the project manager avails themselves to the power that comes from telling a story. By painting a picture of the outcome, their team members can work to make that outcome a reality for their customers. Having a clearly defined concept and communicating that concept clearly and frequently helps to enroll everyone into the project vision and helps people understand that they are engaged in building something bigger than themselves. This taps into people’s passion and creativity and creates an environment where they are engaged in their work.  

Perhaps just as important as what the end product will be, however, is having a concept of how the creation of that of product will come together as a whole. When a director undertakes a new show, he or she considers the team environment they want to create to bring that show together. For newer works, when the script and end product is still in flux, the director may adopt a highly collaborative approach to rehearsals and production design meetings. If the timeline is tight, the director may adopt a very deliberate command and control approach. The director’s concept of the approach and environment he or she creates has a direct impact on the kind and quality of work being performed all the way up to opening night and throughout the run of the show. The mindful director is aware that the approach and tone they set for running rehearsals, running production meetings, and putting all the pieces together for the show directly effects the quality and the character of the end product. 

Mindful project managers understand this. The approach and tone they set for the execution of a project can have a tremendous impact to the final outcome. Project management is not a “one size fits all” proposition. A command and control approach, for example, is not always best, even if it helps the team meet deadlines. A project manager who leaves “dead bodies along the road” on every project will end up very lonely. By taking time to create a concept as to how it can all best work together, the project manager seizes the opportunity to be intentional in his or her approach.  And, as we know, much has been written about the power of intention. 

My experience in theater helped me understand that managing a project is, in its own way, a creative act. To be clear, not every project is a “Hamlet” and not every project will change the world. Regardless, if it’s a project worth having a project manager, then it’s a project worth having a clear vision of what it needs to achieve and of how it wants to achieve it.  

Part Two: 

Why it Does Matter Who is Cast as Batman","
  Operations & Technology
"
"Marketing Automation: Consistency Counts","marketing-automation-consistency-counts","May 05, 2015","","Nathan Wright","

This isn’t your standard marketing automation blog post. I’m not going to restate a list of statistics about the explosive growth of marketing automation (you can find these with a simple Bing or Google search). I’m not going to give you the top five, seven, or eleven ways to generate more leads than ever. And I certainly won’t try to convince you that one platform is better than the others. Instead, I’m sharing some of my own best practices to help you get the most out of your marketing engines.  

For me, the single most important factor for deploying effective global marketing automation campaigns is consistency. Deliver consistent campaigns across all your markets and teams and you win. Yep. That’s it. Consistency of workflows, terminology, and best practices. Do this and you’ll improve your ability to replicate, execute, and coordinate across borders, business units, and teams.  

This is, of course, easier said than done. Delivering consistency is incredibly difficult in the modern enterprise given the general lack of time to plan, challenges communicating across time zones, shifting priorities, conflicting goals, and more. There are, however, a few things you can do as a marketing automation leader to deliver more consistent marketing campaigns, even in a hyperscale global enterprise.  

STANDARDIZE CAMPAIGN WORKFLOWS AND PROCESSES

Someone once told me that all processes are perfect – you get out of them exactly what they were designed to produce. If you want something different from your process, you need to change the process. Great marketing automation is defined by efficient workflows and effective processes. Your campaigns will run precisely as they are programed. One of the easiest ways to begin driving consistency across your campaigns is to focus on documenting the workflows and processes that drive the outputs you desire. Start by asking yourself a simple question. What is our buyer’s journey? Documenting your buyer’s journey is a great way to see if what you are getting out of your campaigns is aligned with what is going into your campaigns. My guess is that you will find some interesting gaps and opportunities. 

ALIGN TERMINOLOGY ACROSS GLOBALLY DISTRIBUTED TEAMS

One of the most basic things any marketer can do to drive consistency and effectiveness is to standardize terminology. When you work across globally distributed teams, it’s especially easy for words to lose their meaning, be misconstrued, or simply be misunderstood. Without standard terms, definitions, and understanding, you are literally speaking a different language. Take the time to standardize the key terminology used by all your marketing operations teams and work to drive consistency in how they are used. If this seems too obvious, just ask yourself if you ever felt like your global teams didn’t understand what you meant. If so, you probably have room to improve in this area as well.

SEEK AND SHARE BEST PRACTICES

One of the greatest gifts I have working as a consultant is access to the many ways businesses create action to drive results. Some companies are better than others, but through trial and error, over time the great ideas become best practices. Sharing best practices across globally distributed teams is a simple and effective way to learn from others what works. It’s free learning and can help build highly effective marketing organizations. It’s easy to start, too. During your next meeting or monthly team conference call with your global marketing teams, take a moment to listen to ideas being shared and ask for what works and why. Then, document it and share it back for all the group to benefit. I’m always delighted when I hear teams sharing ideas and best practices with teams from other countries. 

Like most things in business and in life, you will get as much out of marketing automation as you put into it. If your goal is to automate for the sake of automation, you can purchase a solution and use it to run a few campaigns. You might see a return on that investment or you might not. However, if your goal is to truly harness the power of your new marketing tools, you will need to establish consistent workflows, terminology, and best practices. If you do, I’m certain you will see results.","
  Operations & Technology
"
"Turning the Dial to ‘Always On’ Sales Readiness","turning-the-dial-to-always-on-sales-readiness","April 29, 2015","","Todd Vold","

The move to the cloud is a fundamental shift that makes business both easier and more difficult at the same time. Businesses must adapt to a new set of challenges and capabilities that simply didn’t exist before. Taking cloud products to market poses unique challenges that today’s sales leaders must address. 

Cloud products present fantastic new opportunities for the business and for customers. They also present unique challenges for even the strongest sales organizations for the following reasons:

Product release cycles are shorter than ever.  That means new features are constantly coming online. Sometimes sales teams know about them. Sometimes they don’t. 

The competition is changing just as fast.  Just because you knew how your solutions stacked up against the competition a month ago doesn’t mean that you know how they measure up today. 

Training and readiness content can become obsolete almost as soon as it is created.  If you’re still relying on traditional field readiness vehicles, you’re probably not moving fast enough. 

Engineering teams are continually expanding and improving your cloud solutions to stay ahead of the innovation curve and ahead of the competition. The challenge is, the rate at which they move typically surpasses the rate at which readiness teams can generate content.  

BE READY TO WIN

Sales readiness programs have been around for a while. They are intended to prepare sales teams for tough customer questions.  It’s a safe bet that if your teams have the right answers to tough questions, they will win more deals. But traditional readiness programs rely on point-in-time activities (e.g. hosting a class or publishing a piece of collateral). For your teams to keep pace in a rapidly changing environment, you will need to embrace an ‘always on’ approach to readiness programs. ‘Always on’ programs produce content that is concise, created by a cross-functional team, and current. 

CONCISE

Field sellers don’t have a lot of time. They want information that is easy to consume and digestible. Valuable content includes information such as: your current product roadmap and that of your competitors, messaging and positioning statements, ROI data points, customer case studies, FAQs, etc. Creating content like this will require your organization to build a new information architecture for readiness that favors bite-sized content. 

CROSS-FUNCTIONAL 

Product Management, Product Marketing, Incubation Sales, Engineering, and Professional Services teams all possess subject matter expertise. But these teams get bombarded by information requests from all across the organization. This can drain time and resources. The challenge is to build tight-knit relationships between these organizations so information can be quickly distributed to sales teams through efficient readiness channels.  

CURRENT 

In most organizations field stakeholders need to monitor many channels to stay current. To help them stay up to date, the enterprise needs to reduce the number of vehicles and optimize the ones they use.  Here is how:

Corporate Websites. You need a team or an individual to actively manage your corporate websites. This is probably the first place your field sales teams and customers go for information. Your web content needs to be current and cohesive. 

Mobile-First Vehicles. People use their mobile devices to find information, especially when they are on the move. Building mobile apps, mobile sites, and leveraging responsive design will help you deliver sales readiness content when and where it is needed most.  

Social Communities. Your subject matter experts work all across your organization.  Creating an online forum will facilitate discussions across functional areas and business units. This allows the best and most current information to flow freely throughout your enterprise. Before launching, make sure you seed the community with high-value content and actively promote and moderate the discussions. 

‘Always on’ readiness programs deliver the most current, most effective deal support possible. With quick and easy access to bite-sized content, your sales teams will be armed with the information they need to stay ahead of the competition and win more deals. 

 

In case you missed it: check out Chase Morgan’s blog post, Help! Why Aren’t We Winning in the Cloud?","
  Sales & Channel
"
"Perspectives from the Pitch: Building Strong Teams","perspectives-from-the-pitch-building-strong-teams","April 06, 2015","","John Tribble","

I enjoyed playing sports when I was young. Unfortunately, my skill didn’t always match my enthusiasm. While sports came naturally for some of my friends, I had to work hard to develop my skills and knowledge in order to earn playing time. From that vantage point, it was easy for me to tell the difference between the coaches who were adept at developing talent and those who just relied on good athletes to win games. I vowed that if I ever became a coach, I would work hard to polish every diamond in the rough and get the most out of every player on my roster, regardless of their natural ability. 

These days, I’m trying to live up to that vow as a youth soccer coach. I have enjoyed a few personal rewards such as creating a bond with my kids and the families of the other players. What I didn’t expect was that coaching would give me a fresh perspective on business consulting. Here are three coaching principles I apply as a manager:

Invest time in team building.  When things don’t go right on the field, it’s natural for players to take it personally. They might feel like their teammates don’t like them or want to hog all the glory. To combat this, I started having the kids share their personal life with the team. We discussed their favorite vacations, how many pets they had, or what they appreciated about their teammates. As a result, they started trusting each other more, and when a pass didn’t come their way, they didn’t assume their teammate was ignoring them. I have also noticed that business colleagues that invest time building relationships—with their peers, within their team, or between groups of stakeholders—are better equipped to overcome adversity. They won’t assume the worst intentions when things go off track. Instead, they’ll work together, realizing that there is enough credit to go around when the group achieves success.    

Communicate your approach.  In soccer and other youth sports, one of the most important (and, at times, challenging) groups of stakeholders are the parents. Over the years, I’ve learned to proactively communicate what they should expect throughout the season, which might translate to “managing up.” What is my philosophy on balancing coaching-to-win vs having fun? How will I structure our practices? On what basis will I allocate playing time? How should we judge whether a season was successful or not? Letting the parents know in advance what will guide my decisions can reduce their anxiety levels when they don’t agree with what happens on the field. In the business world, communicating your approach for tackling a project (or how you want someone else to approach a project) is just as critical as the goal itself. The scope, timeline, or desired outcome might change, but if everyone is aligned on the approach, the process should result in a successful learning experience.    

Sweat the details.  I start every season focusing on the fundamentals of passing, shooting, and dribbling. I watch footwork to ensure each player knows the basic skills they will need to advance. I explain why these fundamentals are important in the context of a real game. I also spend time explaining the role of each position on the field, so that each player knows what is expected of them. We create a culture where the details are important, and players start to gain satisfaction from doing each individual task the right way. They might not realize it, but I am preparing them to scale and handle multiple, complex in-game scenarios that unfold in rapid succession. This translates to business in many ways. When onboarding a new coworker, what fundamental skills are non-negotiable? What do they need to learn before they are thrown into a complex project? How do you define return on investment for your organization? What level of stakeholder alignment is required to launch an initiative? If you are asking them to “manage a program,” can you break that down into a clear scope of components so that you and your coworker are on the same page? Your team should know what questions need to be answered, and what level of detail is expected. These are the fundamentals that strong teams emphasize from the start.  Whether you are a coach or a manager, no detail is too small.  

No matter what your profession is, it’s critical to have an outlet that helps you maintain perspective and work/life balance. For me, that outlet has been soccer. I’m fortunate that coaching has also provided learning opportunities that have made me a better consultant and manager.  

 

 

","
  Operations & Technology
"
"What’s Your Value Chain for Cloud Transformation?","cio-whats-your-value-chain-for-cloud-transformation","March 21, 2015","","Jerry LeishmanDan Quigley","
ANALYZING TOTAL COST OF OWNERSHIP

You’ve probably read about how moving to the cloud can lower total cost of ownership (TCO) by reducing the upfront investment and ongoing maintenance costs associated with traditional IT services. Too often, though, decision makers analyze IT costs independent of other organizational functions (marketing, sales, etc.). As a result, they fail to account for the cost savings of related upstream or downstream services. Like the old joke says, when you base decisions off bad data, you make bad decisions with certainty.   

SCENARIO 

Let’s consider a common scenario where an IT organization is trying to determine if it is more cost-effective to replace an on-premise e-mail service with a cloud service. The CIO can’t reach a conclusion by simply adding up licensing costs and comparing that with the subscription cost. He must stop and ask how much time his engineers spend with the following: 


	Software and hardware development, testing, setup, installation, deployment, and support
	Complex customization and end-to-end system integration
	Business requirements and process definition
	End user training for internal and external customers and partners


These costs are also expected when standing up a cloud e-mail service, but they are probably not equivalent because the effort is shared between the customer and the Cloud Service Provider (CSP). The total cost of ownership calculator from Software Advice can help you analyze TCO for on-premises software systems and compare them with cloud offerings. The calculator offers a solid start, but isn’t comprehensive. It fails to account for upstream and downstream impacts to related services. 

To find efficiencies within IT spend, you must first have access to the right information. Often times, CIOs fund projects based on the outcome of annual planning drills that follow a strategic roadmap. But creating business value and competitive advantage requires more than a strategic roadmap. This leads us to the value chain. 

THE VALUE CHAIN

In the mid-80’s, Michael Porter introduced the value chain as a tool for creating competitive advantage. He identified a generic set of interrelated activities common to a wide range of firms. Primary activities included Inbound Logistics, Operations, Outbound Logistics, Marketing, Sales, and Service. Secondary activities included Procurement, Human Resources, Technological Development, and Infrastructure.
The value chain can help analyze the delivery of any mix of products and services to an end customer. By mapping and analyzing the upstream and downstream impacts of a specific activity or service along the value chain, there is opportunity to identity and exploit efficiencies. 

SCENARIO CONTINUED

Let’s return to our scenario. Our CIO decides to perform an analysis of six major IT services for his 300-employee branch office. He assigns a relative business value and a TCO number to each service.




Assumptions:


	Email servers are installed and managed at a co-location hoster’s facility and connected to the branch office by an MPLS circuit. 
	Office is the preferred productivity suite and is volume licensed at eight dollars per employee per month. 
	Off-site backup is primarily for the email data and is charged as a separate service. 
	A custom customer support system application is being maintained in-house and housed in a data center in the branch office. 


The business value figures are relative to each other, with the highest rated service (Productivity Suite) receiving a value of 100—the business would simply not survive without it. Please note that there are several ways to accurately derive business value, but that’s a subject for another blog post. 

Bliss Factor:

The Bliss Factor is a simple “goodness measure” of what performs best based on your value criteria.  It is what gives you, the CIO, the most bliss and peace of mind. The actual bliss function (in this case a cost to value ratio) is not important. What is important is that you consistently apply a formula that accurately reflects the organization’s perceived business value of the services you provide.   

Once the TCO and business values are established, they can be plotted:



CHANGE IMPACT ANALYSIS

In this case, our CIO is examining whether or not he should move his email infrastructure to Office 365.  So, he re-analyzes the cost of delivering all services if he were to replace the volume license for Office with Office 365. A key element of this analysis is to determine if anything else he pays for changes. 

The first costs to go are the recurring license fees for Exchange, the equipment, and support staff. Next are the license fees for Office and the majority of those related delivery costs.

Since Microsoft automatically backs up email data, and charges for that service are built into the subscription, the business won’t need as much backup storage. Then again, since office 365 is hosted on Azure, perhaps the al-la-carte off-site backup service can be eliminated entirely and replaced with an Azure backup service. One benefit of cloud transformation is the value received from employing best-of-class services from focused best-of-breed experts. Another benefit is the ability to transfer operational risk and related costs to the vendor.

The MPLS circuit can be eliminated because the business no longer requires the security or bandwidth of a metro circuit to the co-location vendor.  IT can beef up the more cost-effective business internet connection to handle the increased bandwidth.

Bandwidth spend, particularly in companies with heavy customer engagement and/or widespread geographic locations, should be a top concern for the CIO. If the company has a large-scale legacy WAN setup (multiple hardware and software vendors, multiple carriers, and all the related infrastructure and support requirements), it will realize significant cost savings by switching to a global cloud service.
Returning to our value spreadsheet, there are two things that jump out. First, we see the expected cost savings with email and Office. Second, we see a pleasant surprise with the perceived business value of email—it as increased!



When polled, employees rated the business value of email higher, because of an improvement in availability. While the old email system was meeting reliability measures, it was down just enough to impact its perceived value.

Oh, and take a look at your Bliss Factor!



CONCLUSION

Once value has been analyzed and contributing parts identified, other models can be used in conjunction with the value chain to assess opportunities to create competitive advantage and reduce costs. CIOs need to decide how they will adopt the cloud and transform their IT organization. This means driving change for their internal customers and increasing business agility. 

Our next blog post will discuss how to transform your IT organization into a cloud service provider while accelerating business change and time to market. 

Resources: 

Porter, Michael E., Competitive Advantage: Creating and Sustaining Superior Performance","
  Operations & Technology
"
"How Marketing Leaders are Moving to the Cloud","how-marketing-leaders-are-moving-to-the-cloud","March 12, 2015","","Rebecca Jones","

Have you recently sat in a meeting trying to redefine your customer experience? It’s a crucial challenge facing the majority of our clients, especially those taking advantage of cloud capabilities to create new subscription-based business models. These companies have embraced digital platforms to open up new segments and drive cost-effective demand gen. Their marketing and business leaders are in the midst of rationalizing a sea of multi-touch, multi-dimensional opportunities to engage with their customers. Here’s a snapshot of the changes we see our clients making in their marketing organizations as they move to subscription models.
 

EVOLVING MARKETING INVESTMENT STRATEGY

Digital tools create cost efficiencies to enter new markets and acquire new customer segments.   If you’re also introducing new business models, such as a subscription version of your product or offering, your investment strategy must evolve. To create a dynamic customer experience and deliver the business value of a premium-priced subscription, you’ll need a clear engagement plan. This plan should connect product marketing, digital marketing, inside sales, direct sales, and your channel. Most of our clients have invested in a marketing automation solution to drive more cost-effective demand gen. Now, they’ve turned the dial on how to engage with these tools in a meaningful way and ensure that they have a revenue performance blueprint that is connected, practical, and can deliver not only on the initial acquisition, but also the renewal lifecycle.
 

REDESIGNING A CUSTOMER JOURNEY THAT DOESN’T END WITH THE BUY BUTTON

If you’ve recently added a subscription offering within your business model, you’re likely evaluating where your marketing and sales activities end and where your customer service begins. What metric are you driving? What marketing tactics do you own?  Where do your accountabilities lie? We’ve embraced the fact that the customer journey is not linear. It’s fueled by self-directed customers who want to consume content when and where they choose. As a result, our clients are rethinking the customer experience and coupling digital engagement plans with the ‘always on’ customer relationships inherent to subscription models.
 

RATIONALIZING DIGITAL AND PHYSICAL TOUCHPOINTS 

Without a doubt, there is tremendous opportunity through digital and online platforms. However, to build a modern customer experience, our clients are realizing they must get back to the basics and understand their target customer and their buying profile. They are asking where their customers want to engage and how they make purchase decisions. Will it be online, at an event, or in a physical location? These questions are valid, even if they are purchasing a subscription. Once you have this information, you can see how your customer’s perspective has evolved and how you can get back in their line of sight. 
 

WRAPPING IT UP

Moving a product or service to the cloud creates a variety of new challenges and endless opportunities. This is why we see leading companies evolving their investment strategy, redesigning the customer journey, and working to rationalize customer touch-points. Smart marketers recognize that they must adapt to survive in the digital age. ","
  Marketing & Digital
"
"How to Put Customers First in a Digital World","how-to-put-customers-first-in-a-digital-world","February 26, 2015","","Richard Albrecht","

One of the most impactful lessons I learned in my business school days came courtesy of Dr. Daniel Turner, award-winning MBA Marketing Professor at the University of Washington. He said, “Think marketing, because that’s where the money is.” What I took from that quote years ago rings as true today as ever. If you don’t know your customers, you won’t have a business. 

The trust economy enabled by the internet has changed the focus from brand-based trust to personal trust. Today’s marketers must, in turn, shift their thinking. They are challenged to go beyond mere communication and create valuable customer connections. To be successful, companies must evolve from simply communicating a brand promise to truly living that brand promise with customers across all interactions. At Bridge Partners, we are finding deep customer connections to be more important than ever—for our clients’ businesses and for our own. We believe that modern marketing strategy is about building value-driven customer relationships. 

Techniques and tools for customer acquisition and retention evolve constantly. Digital tools have made it easier for companies and customers to engage, and companies must now leverage that capability to be responsive to their customers’ individual needs. According to Marc Benioff, CEO of Salesforce, “If you are not linked to your customers more deeply and adapting more rapidly, you are making a mistake.”  

Today’s marketers have at their fingertips an exponentially growing ecosystem of digital tools to acquire, retain, engage with, and learn about customers. However, a digital tool is only as good as the customer relationships it enables. As face-to-face interactions get replaced and digital noise clutters the marketplace, customer relationships suffer, and marketers must work even harder to create context and connection with customers. This “context relevance” is the latest, digital age version of Dan Turner’s “know your customer.” 

To compete, companies must bring technology, marketing, and customer experience together holistically. Marketers should take ownership of customers across the buying lifecycle and put individual customers at the heart of their strategy. Contextual marketing is all about using digital tools to enable trust and create compelling customer relationships and dynamic, personalized experiences. 



With so many customer touchpoints, businesses of all kinds must begin thinking of themselves as services companies. Every customer interaction, pre and post-sale, is a measurable opportunity for interaction with a brand promise. Technology enables more effective marketing programs and, if used wisely, can create more relevant and valuable customer connections. Smart companies need to take advantage of the opportunities for closer customer connection, and smart marketers must lead the way.

 

Resources

World Economic Forum: The New Digital Context

Forrester: Marketers Will Use Customer Context to Supercharge Digital Engagement in 2015

CMO: Forrester: Digital Change Means Embracing Contextual Marketing

Forrester: How The CMO and CIO Will Determine The Future of Business in 2015

Gartner: Digital Marketing Spend


 ","
  Marketing & Digital
"
"Why I Joined Bridge Partners","why-i-joined-bridge-partners","February 18, 2015","","Robin Nirken Berson","

For today’s workers, changing jobs can be as frequent of an occurrence as changing hairstyles. They bounce from job to job, looking for the next opportunity to enhance their resume or jump to a higher pay scale. I’m not suggesting that this is bad thing, but it does present challenges for employers. Some argue that this willingness to switch jobs is due to generational differences. Others argue that economic forces are to blame. Whatever the root cause, employers everywhere are faced with the same question: how do we retain our best and brightest? 

I’ve had the good fortune of shaping a career path that hasn’t followed this trend. I’ve changed companies only twice in twenty years—hardly the common model for upward mobility in the 21st century. What made me stay so long at these companies? How did I manage to steadily grow my career without grabbing every opportunity that presented itself? Maybe I’m just a loyal person. Maybe there was something special about the positions that I’ve held. Maybe I was simply lucky. Maybe it’s a little bit of all of these, but I think there is something more. Something that can help companies everywhere retain their best people. More on that in a moment. 

Last year, after twenty years in the workforce, I decided to step away from my career. I didn’t know if I was going to take a sabbatical or an early retirement. I just knew that it was time for a break. Once I had recharged my battery, I was ready for a new challenge. This meant doing something that I hadn’t done in a very long time: hunt for a job.  

Initially, the thought of joining Bridge Partners and launching a practice in Austin seemed like a huge step. But then, during the selection process, I spoke with CEO Richard Albrecht. He kept coming back to the priority he placed on people. He wanted people to be real, rather than just fit into a certain mold. I left that conversation knowing that I was joining a firm where I could be my most authentic self and build real relationships with the people around me. I had found something that felt familiar and that had worked for me in past successes.

When I reflected on my career, I saw that I had made it a priority to put myself in situations where my values were clearly aligned with those of my company. Because of this, I consistently found myself working with like-minded people. For me, that’s the difference between just clocking in for a job and feeling a sense of real connection.  

So, how can companies retain their best and brightest? Many people will say it’s just about values. Or culture. But people value different things and come from different cultures. Your company can’t be all things to all people. What it can do, though, is encourage people to live their values in an authentic way. Whatever your values, make them real. It’s the single biggest reason why I’ve stayed loyal to my employers in the past. And it’s the single biggest reason why I’ve landed with Bridge Partners in Austin.  

Interested in learning more about life at Bridge Partners? Check out our Careers Page and get connected today. ","
  News
"
